	Jan-20	Feb-20	Mar-20	Apr-20	May-20	Jun-20	Jul-20	Aug-20	Sep-20	Oct-20	Nov-20	Dec-20	FY	
Austria	22,959	21,067	10,654	11,220	20,211	26,676	24,784	20,906	22,162	24,274	20,055	23,772	248,740	
Belgium	51,840	46,775	28,801	5,296	34,752	49,141	44,532	36,387	36,083	38,703	29,103	30,078	431,491	
Bulgaria	2,709	2,692	1,849	1,238	1,514	2,877	2,736	2,304	2,280	2,528	2,372	2,115	27,214	
Croatia	3,717	3,588	2,724	1,084	2,173	4,150	5,132	2,599	3,090	3,093	2,656	2,078	36,084	
Czech Republic	19,132	17,377	13,685	10,679	13,385	20,771	19,770	16,611	16,909	16,835	17,484	20,333	202,971	
Denmark	18,671	15,005	15,184	10,200	11,432	17,932	18,956	17,608	17,197	15,071	18,167	22,739	198,162	
Estonia	2,292	1,753	1,731	831	1,107	1,672	2,057	1,516	1,733	1,553	1,545	1,488	19,278	
Finland	10,809	8,266	9,195	5,984	5,116	8,024	9,104	8,501	8,423	7,499	7,378	8,131	96,430	
France	134,229	167,782	62,668	20,997	96,308	233,814	178,980	103,631	168,289	171,050	126,047	186,323	1,650,118	
Germany	246,300	239,943	215,119	120,840	168,148	220,272	314,938	251,044	265,227	274,303	290,150	311,394	2,917,678	
Greece	9,785	7,862	3,743	2,434	4,497	8,249	9,516	6,853	7,107	6,847	7,641	6,443	80,977	
Hungary	10,114	11,077	11,477	6,188	6,471	10,355	12,047	10,924	11,449	11,951	13,265	12,713	128,031	
Ireland	30,650	13,138	6,007	343	1,741	1,006	21,171	4,808	5,651	2,296	913	601	88,325	
Italy	155,869	163,125	28,415	4,295	99,842	132,691	136,769	88,973	156,357	157,188	138,612	119,620	1,381,756	
Latvia	1,484	1,315	1,066	683	744	1,271	1,499	1,113	1,229	1,110	1,029	973	13,516	
Lithuania	4,251	4,256	2,240	1,381	2,053	2,684	3,361	3,415	4,682	3,422	4,324	4,269	40,338	
Luxembourg	4,319	4,792	2,797	1,187	3,022	4,634	5,501	3,670	4,069	3,950	3,808	3,355	45,104	
Netherlands	44,016	29,665	29,372	15,322	14,842	24,754	34,636	26,294	29,305	31,786	33,149	42,290	355,431	
Poland	39,494	38,517	29,681	15,264	21,149	35,799	42,451	34,734	38,195	40,070	41,678	51,495	428,527	
Portugal	14,423	20,263	10,596	2,749	5,741	11,076	15,209	12,417	13,186	13,679	11,826	14,252	145,417	
Romania1	12,489	8,836	6,654	4,321	7,155	10,161	12,950	11,157	10,878	12,523	13,253	15,974	126,351	
Slovakia	6,733	7,220	5,013	3,424	4,123	7,502	8,262	6,980	6,350	6,694	6,921	7,083	76,305	
Slovenia	5,118	4,531	2,065	1,318	4,047	5,010	4,914	3,243	3,418	3,214	2,039	1,283	40,200	
Spain	86,442	94,618	37,643	4,163	34,338	82,651	117,930	66,923	70,728	74,228	75,706	105,840	851,210	
Sweden	16,798	21,694	27,649	18,916	15,881	24,747	22,718	25,522	28,719	28,147	26,571	34,662	292,024	
EUROPEAN UNION	954,643	955,157	566,028	270,357	579,792	947,919	1,069,923	768,133	932,716	952,014	895,692	1,029,304	9,921,678	
Iceland	710	694	1,078	374	515	824	1,480	580	1,015	739	557	803	9,369	
Norway	9,561	10,346	12,451	7,425	7,998	11,443	9,772	10,802	15,552	12,948	12,533	20,574	141,405	
Switzerland	18,940	19,168	17,751	9,278	13,917	24,506	22,437	16,278	21,430	21,038	22,787	29,173	236,703	
EFTA	29,211	30,208	31,280	17,077	22,430	36,773	33,689	27,660	37,997	34,725	35,877	50,550	387,477	
United Kingdom	149,279	79,594	254,684	4,321	20,247	145,377	174,887	87,226	328,041	140,945	113,781	132,682	1,631,064	
EU + EFTA + UK	1,133,133	1,064,959	851,992	291,755	622,469	1,130,069	1,278,499	883,019	1,298,754	1,127,684	1,045,350	1,212,536	11,940,219	
